location,group,module,st_time,end_time,mean_temp
Nairobi,control,production,23.0,29.0,21.712887500000004
Nairobi,control,dictator,29.0,31.5,21.712874999999997
Nairobi,control,risk_game,31.5,36.0,21.703333333333333
Nairobi,control,t_preference,36.0,41.0,21.6725
Nairobi,control,trust,41.0,46.0,21.69420833333333
Nairobi,control,public_goods,46.0,49.5,21.6845
Nairobi,control,ravens,49.5,61.0,21.663682692307695
Nairobi,control,joy_O_D,61.0,64.5,21.668625
Nairobi,control,survey,64.5,70.5,21.70748125
Nairobi,control,charity,70.0,74.0,21.731343749999997
Nairobi,treatment,production,22.0,28.0,31.001099999999997
Nairobi,treatment,dictator,27.5,30.0,31.07933333333333
Nairobi,treatment,risk_game,30.0,34.0,31.1321875
Nairobi,treatment,t_preference,34.0,39.5,31.171749999999996
Nairobi,treatment,trust,39.5,45.0,31.20926875
Nairobi,treatment,public_goods,45.0,51.0,31.2852625
Nairobi,treatment,ravens,51.0,62.0,31.31930555555555
Nairobi,treatment,joy_O_D,62.0,64.5,31.349541666666667
Nairobi,treatment,survey,64.5,70.75,31.400176339285714
Nairobi,treatment,charity,70.75,75.0,31.467333333333336
California,control,production,20.75,24.0,21.785
California,control,dictator,24.0,26.0,21.810000000000002
California,control,risk_game,26.0,29.0,21.8295625
California,control,t_preference,29.0,33.0,21.880699999999997
California,control,trust,33.0,37.0,21.892083333333332
California,control,public_goods,37.0,40.0,21.923000000000002
California,control,ravens,40.0,45.0,21.941000000000003
California,control,joy_O_D,45.0,48.0,21.939166666666665
California,control,survey,48.0,52.75,21.944799999999997
California,control,charity,52.75,55.0,21.9685
California,treatment,production,21.0,24.5,30.30625
California,treatment,dictator,24.5,26.0,30.332
California,treatment,risk_game,26.0,30.0,30.34979166666667
California,treatment,t_preference,30.0,34.0,30.40157142857143
California,treatment,trust,34.0,38.0,30.486354166666665
California,treatment,public_goods,38.0,41.0,30.552875
California,treatment,ravens,41.0,46.0,30.6514
California,treatment,joy_O_D,46.0,49.0,30.70191666666667
California,treatment,survey,49.0,54.0,30.668124999999996
California,treatment,charity,54.0,56.0,30.644114583333334
